Country,Year,debtassets
United States,1991,1204893
United States,1992,1206165
United States,1993,1321315
United States,1994,1410397
United States,1995,1634090
United States,1996,1875623
United States,1997,2157220
United States,1998,2278536
United States,1999,2419905
United States,2000,2725936
United States,2001,2872916
United States,2002,3249454
United States,2003,3320628.8
United States,2004,4092131.1
United States,2005,4614054
United States,2006,5692157.7
United States,2007,6762047.4
United States,2008,6546594.7
United States,2009,6592288.5
United States,2010,7240203.7
United States,2011,7217957.4
